DOWLKNUM,ACCESS.avg.ann.gdd,GFDL.avg.ann.gdd,IPSL.avg.ann.gdd,MIROC5.avg.ann.gdd,MRI.avg.ann.gdd,UTMX,UTMY,LON,LAT
13003300,2416.1927425540557,2245.0693995972356,2411.623313250256,2544.5381605223265,2236.740281563436,516167.516,5028935.007,-92.7933758,45.41374813
13005300,2322.650945593187,2153.178716318428,2317.675856513544,2443.299684404375,2144.5406777355056,504118.6705,5018585.514,-92.94744871,45.32076356
13006800,2201.72574008556,2030.9493017761315,2195.456183170595,2311.092529424704,2021.337416067801,497323.9996,5047449.589,-93.03430098,45.58058221
13007300,2266.8113174782975,2094.7430862251035,2262.311526710971,2379.7174277097133,2084.29089373832,495823.6018,5048703.764,-93.05354381,45.59186364
14000400,1995.615178140662,1869.144627279488,2004.588500913309,2105.9136952601852,1851.3301864665364,257177.065,5211347.049,-96.19473726,47.0110548
15001000,1856.283885043133,1720.485106423162,1871.0816849202624,1951.6456190917131,1700.5606313280348,331962.3582,5228594.724,-95.2181686,47.18936522
15005900,1841.82316610384,1710.7207902360294,1853.0160349167047,1933.4203243487764,1700.6439487705147,326860.2825,5251562.828,-95.29438262,47.39455059
15007900,1903.4997706978263,1770.3033828944106,1917.27664936174,2000.5614380224747,1760.6213221523694,325070.6003,5249583.522,-95.31729851,47.37627811
15014900,1864.3577291497304,1739.4900117876325,1882.1792011779005,1959.5256011589404,1726.7016005190053,310451.7864,5285336.16,-95.52616802,47.69358968
16008900,1518.5431463226355,1415.1717849912131,1554.3260293346063,1591.82061023115,1417.3731719917553,706365.3277,5309369.013,-90.23853134,47.90442453
16036900,1579.796343193598,1463.0802320565278,1610.8235331131611,1656.0425809604203,1470.7489476369738,668409.1193,5290838.565,-90.75319474,47.74891515
16037300,1559.400928210997,1445.43929463419,1594.0830055194722,1633.399780827469,1453.9072036800494,670266.5941,5289495.245,-90.72895913,47.73635036
16038400,1624.0834769968817,1502.7903626070506,1652.0925105256254,1699.7103783563357,1509.3123475276,672949.5583,5299063.474,-90.68939282,47.82165736
16063900,1664.2242823640947,1536.155074570537,1689.8415559035489,1749.5789113175,1548.403468481651,652396.5611,5283897.15,-90.96910601,47.69048074
16064500,1733.5729521275364,1609.360479810412,1763.6970596882084,1822.8595281408427,1621.2776083518547,653497.7843,5287170.207,-90.95328807,47.71965115
17000300,2469.866266557534,2277.17216463689,2458.5442142517068,2581.0859897007585,2296.4748445348177,343649.8708,4867941.671,-94.94841676,43.94799092
17006000,2455.5427395326647,2260.0028208158665,2454.1235826664242,2563.627245227051,2283.207655756829,302969.2819,4861231.41,-95.45247957,43.87786487
18001800,2111.766710735856,1962.7261093045624,2114.188191474952,2208.3477379661053,1942.5863363478131,432912.5249,5120578.576,-93.87010128,46.23547283
18002000,2079.4031675190445,1928.584425341082,2086.10982469709,2174.8788537156875,1911.2040687633112,434185.1998,5128276.515,-93.85467314,46.30487035
18003400,1999.5852287752543,1851.697704197859,2003.102182146868,2091.708335968385,1833.6110026509327,434226.7928,5137763.416,-93.85546391,46.39024504
18003800,2068.9019248931327,1917.160642014392,2075.6335070548657,2165.5133265109293,1899.6675676874468,429742.1407,5138255.585,-93.91385912,46.39422268
18004400,2074.8794627856223,1923.504395358739,2082.768549166994,2172.6278803844,1905.548026567479,430599.9309,5134093.648,-93.90208612,46.35685955
18005000,2074.8794627856223,1923.504395358739,2082.768549166994,2172.6278803844,1905.548026567479,429600.3497,5133574.872,-93.91499943,46.35208805
18008800,2120.176237720248,1970.9338979507056,2128.1803121365588,2218.042926480307,1950.1432415798267,428726.4569,5112685.585,-93.92319572,46.16401887
18009000,2103.648012814882,1951.396637494788,2109.024805337392,2198.5257041303403,1936.7075239320236,429052.0004,5147848.052,-93.92429319,46.48046824
18009600,2153.518460300907,2000.1128859464957,2158.4036575675805,2253.056444177319,1981.5845813448036,420107.439,5129044.926,-94.03759028,46.3102723
18015500,2253.961226447776,2099.6330760372193,2257.338587669339,2361.0418843598086,2084.812169209471,396860.5498,5121111.765,-94.3376927,46.23575619
18017000,2163.095169115655,2015.4887685007077,2166.384459090176,2264.7226153205784,1998.899839534296,432442.3586,5165589.55,-93.88271535,46.64046157
18018000,2168.87186344405,2030.4319531314552,2173.6112461034254,2279.4044430024114,2025.6708537624468,436442.9433,5176574.657,-93.83196558,46.73970023
18018400,2009.6589695974703,1863.998857683362,2010.535698691982,2102.674486635794,1850.2678216860452,431354.0685,5168309.728,-93.89733808,46.66482771
18018500,2148.43396055183,2002.9017185389316,2147.769276229578,2249.701338237649,1988.7399129828848,430006.1245,5176629.105,-93.91622171,46.73954663
18020300,2155.791257794652,2013.6229263660648,2157.7189317356665,2259.403071919949,2001.9111257266536,427718.5976,5175046.162,-93.94591232,46.72505974
18021200,2033.9775432516549,1891.803377211979,2040.3619342329323,2132.1750613672752,1879.0182542126197,427186.2071,5177734.199,-93.95330467,46.74918871
18024200,2132.020953752549,1981.2255776509728,2137.4579838590143,2231.0285300132196,1965.4870725443443,417711.3332,5156192.006,-94.07348974,46.55425747
18024300,2147.0889365299977,2000.5011601699716,2149.607903582095,2246.204211384535,1982.3322140492337,415630.3528,5153837.506,-94.10020384,46.53281414
18026600,2045.349855204636,1897.710944808002,2051.2309495571963,2140.890868455051,1883.3914940555296,418310.1492,5172750.725,-94.06860779,46.70332233
18026900,2045.349855204636,1897.710944808002,2051.2309495571963,2140.890868455051,1883.3914940555296,413376.0051,5173541.482,-94.1332891,46.70981624
18027100,2045.349855204636,1897.710944808002,2051.2309495571963,2140.890868455051,1883.3914940555296,416416.5685,5171244.969,-94.09310024,46.68954016
18028700,2172.7983039003675,2023.189920692932,2175.4442036963997,2272.269475658057,2004.9914919434163,419324.466,5165666.804,-94.05410145,46.63970607
18031000,2045.349855204636,1897.710944808002,2051.2309495571963,2140.890868455051,1883.3914940555296,406667.6424,5171605.624,-94.22064137,46.6914962
18031200,2045.349855204636,1897.710944808002,2051.2309495571963,2140.890868455051,1883.3914940555296,413544.6229,5168506.174,-94.13013814,46.66453286
18031500,2045.349855204636,1897.710944808002,2051.2309495571963,2140.890868455051,1883.3914940555296,411377.8286,5174447.122,-94.15960009,46.71770276
18035400,2045.349855204636,1897.710944808002,2051.2309495571963,2140.890868455051,1883.3914940555296,409402.1046,5169843.269,-94.18454012,46.67601558
18035500,2045.349855204636,1897.710944808002,2051.2309495571963,2140.890868455051,1883.3914940555296,404105.3968,5168563.586,-94.25351028,46.6637643
18035600,2045.349855204636,1897.710944808002,2051.2309495571963,2140.890868455051,1883.3914940555296,405896.6554,5168926.827,-94.2301751,46.66728656
18036100,2086.240134635758,1935.1682830558148,2089.3053590186178,2182.8879677784453,1918.607565961556,408079.8431,5167323.115,-94.20132198,46.6531607
18037300,2138.7385313967748,1987.1185384804285,2141.277490371548,2234.6315366304834,1973.681274227312,401478.3842,5145709.807,-94.28298444,46.45776319
18037600,2088.7680961510464,1940.2060061267516,2088.744523428591,2181.8287795716874,1924.772813569288,403693.6721,5157743.837,-94.25663674,46.56635777
18037700,2096.249370417769,1946.9763109939552,2101.2447052514553,2193.4210062749135,1933.4423040438269,403254.0578,5156211.881,-94.26205188,46.55251119
18037800,2045.349855204636,1897.710944808002,2051.2309495571963,2140.890868455051,1883.3914940555296,401702.74,5169204.288,-94.28504587,46.66918037
18037900,2105.125917396377,1955.778398627132,2108.4761396943018,2205.822720350188,1941.3034740185285,400900.5526,5134064.359,-94.2880384,46.35289954
18038600,1906.6278286943923,1764.8211426729274,1907.47513899519,1995.325724446035,1753.29658568384,400979.9976,5136507.154,-94.2875224,46.3748902
18040300,2096.249370417769,1946.9763109939552,2101.2447052514553,2193.4210062749135,1933.4423040438269,401033.4555,5154735.225,-94.29069728,46.53890221
19002500,2537.768534044295,2361.958349574916,2529.28618601954,2673.6804833937363,2366.703875057726,480060.3091,4952596.85,-93.25179752,44.72647542
19002700,2394.665269602827,2214.7924281906517,2383.145721702998,2519.1269440694755,2213.24094151947,478881.7585,4952116.996,-93.2666602,44.72212186
19003100,2399.691362884442,2215.817415191685,2385.0395144785184,2520.508263800288,2214.7299850330564,475483.6171,4949787.6,-93.30945621,44.70104381
19005000,2529.0672313664454,2344.49094402798,2530.4428586440354,2668.73717320745,2346.3396259985584,492277.0994,4969128.431,-93.09777587,44.87553242
19005700,2536.143585887566,2350.721789092385,2525.6779758599064,2667.2697878876015,2354.0826430655848,487029.5739,4963190.544,-93.1640602,44.82200259
19005900,2553.790171331216,2365.713594118737,2541.593319410065,2682.0948929205556,2370.6967890712053,485624.2613,4962887.159,-93.18182704,44.81924455
19006700,2577.1596518681085,2395.3512428337312,2566.5783665971267,2713.023983136602,2401.0561500524623,486424.05,4960026.729,-93.17163483,44.79351007
19007200,2510.5904715501665,2331.1115226866264,2500.2877650541864,2643.3166489977675,2336.485651471746,488700.4561,4958560.615,-93.14282277,44.78035139
19007500,2533.2555846271016,2340.922391311655,2520.9888214847806,2661.7274286884417,2346.747106014563,489816.4206,4959014.433,-93.12872643,44.78445354
19007600,2549.6619457984875,2355.0666588509753,2534.248396598662,2676.5801778309883,2362.7802552081025,489828.5119,4959429.509,-93.12858189,44.78819033
21005200,2053.0155077922977,1899.5500540039784,2067.8904937957304,2159.3816307034563,1895.6019791518236,319448.2347,5085481.879,-95.32753287,45.89919642
21005400,2155.8289063884113,1998.3804799633535,2174.296747080675,2266.2747022662593,1999.5520796823037,318736.5117,5082842.145,-95.33570444,45.87527002
21005600,2050.78819359603,1895.935008239521,2066.7529188521967,2157.5681175790164,1893.6154536089389,317887.6703,5088803.493,-95.34889399,45.928656
21013600,2128.066397962131,1972.2157636508148,2146.5093422709388,2244.3260007562153,1963.8301251364023,308344.7202,5099831.598,-95.47628518,46.02522522
21032300,2235.442406254416,2083.9586472650435,2262.190284679733,2351.4142812594027,2086.1782993485754,292646.5587,5090806.243,-95.67498426,45.9395099
22002300,2557.7565224740565,2365.823599023733,2538.592022433962,2677.4354717348097,2381.9256044351946,435218.7902,4836599.332,-93.80369273,43.67958036
22007400,2577.2258294043563,2382.671550218967,2559.69531517852,2697.0002123764975,2399.317307607429,413207.5862,4852371.912,-94.0792766,43.8193241
24001400,2444.9812580286953,2256.0921197460707,2424.8375169971227,2557.7641451184586,2270.795383971194,474747.9541,4830854.397,-93.31302759,43.63024949
24002500,2521.9641778771343,2332.4803309125327,2505.705430264245,2643.2290242014765,2352.5751645212235,467122.2397,4830865.651,-93.40755553,43.6300529
24002800,2550.709492840902,2359.9482098651597,2535.665242984846,2674.3883937005544,2381.1381666709026,459546.8393,4821721,-93.50077453,43.54734281
24004400,2588.225816461461,2390.3024961442607,2566.2384769654855,2713.8359194440163,2404.9667794252637,454410.7188,4843590.554,-93.56619877,43.74395206
27001400,2589.0245875244636,2400.975957975773,2587.1309882386236,2729.705341289837,2403.791992123238,479718.8188,4976527.898,-93.25706576,44.94189549
27001600,2477.5362404504267,2298.586152537378,2479.820646651663,2616.318514495156,2297.3256944495556,475926.2825,4974312.964,-93.3050303,44.92183855
27001800,2544.771421970612,2357.4022294991705,2543.1293333904555,2683.954356712041,2358.8278688932733,481364.3643,4974205.996,-93.23612285,44.92103887
27001900,2575.623344621965,2390.3157810974258,2573.890531139588,2716.8690034786837,2388.448690639061,480883.9376,4972829.157,-93.24215798,44.90863184
