DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.Curr,MIROC5.Curr,IPSL.Curr,GFDL.Curr,MRI.Curr,ACCESS.Futr,MIROC5.Futr,IPSL.Futr,GFDL.Futr,MRI.Futr,ACCESS.domain,MIROC5.domain,IPSL.domain,GFDL.domain,MRI.domain,ACCESS.GAMk3.CurrPred,GFDL.GAMk3.CurrPred,IPSL.GAMk3.CurrPred,MIROC5.GAMk3.CurrPred,MRI.GAMk3.CurrPred.x,ACCESS.GAMk3.FutrPred,GFDL.GAMk3.FutrPred,IPSL.GAMk3.FutrPred,MIROC5.GAMk3.FutrPred,MRI.GAMk3.FutrPred,ACCESS.GAMk10.CurrPred,GFDL.GAMk10.CurrPred,IPSL.GAMk10.CurrPred,MIROC5.GAMk10.CurrPred,MRI.GAMk3.CurrPred.y,ACCESS.GAMk10.FutrPred,GFDL.GAMk10.FutrPred,IPSL.GAMk10.FutrPred,MIROC5.GAMk10.FutrPred,MRI.GAMk10.FutrPred,ACCESS.RF.CurrPred,GFDL.RF.CurrPred,IPSL.RF.CurrPred,MIROC5.RF.CurrPred,MRI.RF.CurrPred,ACCESS.RF.FutrPred,GFDL.RF.FutrPred,IPSL.RF.FutrPred,MIROC5.RF.FutrPred,MRI.RF.FutrPred
82015300,Lake or Pond,504536.1865,4997779.697,Washington,Y,1,2.94459364,5,63.41,1772.84234253367,1811.4723047360717,1761.9667156142982,1787.7955761233634,1662.24064927264,2227.731427087767,2349.240027695347,2229.821066014304,2066.3537266295293,2059.436341987429,Analog,NonAnalog,Analog,Analog,Analog,0.5900741815386064,0.5899085350289983,0.5447916338671277,0.641065432996071,0.5765553452339552,0.9992951229975215,0.988131283927495,0.9995476650900079,0.9998480916868311,0.9987973499190012,0.6196162009253086,0.6278078665125713,0.5614309237904062,0.7081997314695997,0.6074926539382662,0.973844746115088,0.9825496719167434,0.9721086809996448,0.9699617289148825,0.9792183226850804,0.8590233333333334,0.8543666666666674,0.8744900000000003,0.9227999999999996,0.8763433333333335,0.8429633333333335,0.9647966666666672,0.8538399999999999,0.8506900000000005,0.9613333333333336
82015900,Lake or Pond,504004.2571,5013346.026,Washington,Y,1,1.759383026,4.12,108.9763,1818.9064527881485,1865.0286022521968,1825.654041978365,1836.9717675099264,1718.2404520072732,2279.7885085358084,2399.553192961501,2275.9346130031577,2111.180020217653,2104.774445612203,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.7627987706999827,0.7678871984392973,0.767540058761831,0.7982561474609268,0.7707207460965233,0.9997673061749032,0.995500753549543,0.9998379178420446,0.9999412282608009,0.999552364457466,0.8109941400424013,0.8283065961430167,0.8258338942893945,0.8651680672732343,0.8314969945148608,0.970271142696987,0.9826959573913762,0.9651526795690102,0.9629116374326793,0.973968969930409,0.8954433333333336,0.9025800000000004,0.8624699999999995,0.9116633333333336,0.8698666666666673,0.8658966666666668,0.9895133333333336,0.8797299999999998,0.8723799999999999,0.9486433333333332
82016300,Lake or Pond,499873.7606,5011883.272,Washington,Y,1,1.670827015,4,100.4841,1968.7945984723017,2008.5638478134551,1976.7832148676664,1997.0726623172768,1865.0453464098384,2447.45588138925,2582.558029745289,2448.762174264939,2270.804102606916,2265.0316892152296,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog,0.9558881488869597,0.9649242993918469,0.9640839907378859,0.9617031149081469,0.9634589063351493,0.999981615299268,0.999613815593728,0.9999904909794988,0.999996276562413,0.9999682449981602,0.9715266350481842,0.974509042531909,0.974279907996443,0.9732234099245052,0.9742647191946838,0.9302930212912948,0.9611804980373595,0.8964255204130306,0.9167637924856066,0.9262414559826648,0.9950100000000002,0.9947733333333336,0.9935866666666672,0.9891900000000003,0.9923933333333338,0.8675300000000001,0.8717800000000003,0.8815633333333334,0.8708866666666668,0.8732900000000003
82016700,Lake or Pond,501219.3473,4991539.254,Washington,Y,1,3.863733183,8.5,123.0549,1854.8711273675967,1888.988276712485,1858.0868295342664,1876.727631391285,1747.2902850872715,2325.7194793549406,2454.024297728285,2329.1445878204486,2150.9052483146006,2146.027097171416,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.9513583125335342,0.9533179640384509,0.9505751971960763,0.9560841377865623,0.9509360561288396,0.9999712968276441,0.9993595703434425,0.9999828933604654,0.9999939412526234,0.9999439219686028,0.9752099782132441,0.9799767864741138,0.9768532323430229,0.9790305171307183,0.9761101922957697,0.9918196295974278,0.995668978966481,0.9894506452546212,0.9901438597050748,0.9926153829564822,0.9451000000000016,0.9453633333333336,0.939686666666667,0.945716666666668,0.9518500000000012,0.8955133333333333,0.9718000000000004,0.9009733333333334,0.8960433333333337,0.8979833333333338
82016800,Lake or Pond,498433.5726,5012328.165,Washington,Y,1,0.794166667,1.4,46.6992,1926.78104630356,1966.7630256527916,1927.6917357934249,1949.0887726270832,1821.45828228725,2402.561688111384,2534.9504868380236,2405.226404770384,2229.585225749662,2230.399246246391,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.6915258806932902,0.7301361039946852,0.7146154620510463,0.7323057664954393,0.7245512228306711,0.9998036326991427,0.9963022810085295,0.9999013165859063,0.9999607430222455,0.9997129121426948,0.7272469926917698,0.7617186586456361,0.7475158701105534,0.7520915333381231,0.7538362679948182,0.6511210312140145,0.7822738723406093,0.5744779815170519,0.6074449680849682,0.6473757147424523,0.920483333333334,0.9219366666666674,0.9202566666666676,0.9274900000000004,0.9339600000000012,0.7550133333333336,0.8501600000000008,0.7696633333333335,0.7627366666666665,0.7616633333333345
82028700,Lake or Pond,518817.8528,5007455.912,Washington,Y,1,1.881771429,2.1336,52.8047,1927.6029574541733,1968.728910474783,1923.9158702468317,1946.1552312210515,1811.5838701443768,2391.488651623956,2524.57097934469,2394.055933006744,2221.8867200103905,2222.7280540692464,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.8349370525049378,0.8492064161276742,0.8386055100181241,0.8670510842751287,0.8354093854250463,0.9998942550324248,0.9980632550692043,0.999945441978381,0.9999799268527283,0.9998544284606534,0.9152871730685103,0.9256127789467724,0.9179935834097476,0.9298807507415036,0.9169595549711587,0.8864986797806816,0.9372467063798093,0.850412239181077,0.8726931220182688,0.8867743620016603,0.92543,0.9338800000000008,0.929803333333334,0.9303900000000008,0.928586666666667,0.7589366666666667,0.8136133333333332,0.7557066666666665,0.7540733333333327,0.7536266666666671
85001100,Lake or Pond,608775.1504,4877046.576,Winona,Y,1,1.2192,1.8288,162.4971,1962.990544121855,2008.301006335615,1978.3623565308533,1988.0492520470216,1869.2824341375,2471.7525597504864,2578.61428405822,2437.4619698174693,2275.000592803074,2268.6820279258477,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog,0.9810633953352952,0.9835421401554695,0.9854939733137167,0.9830820279269679,0.9855563311398976,0.9999952899866479,0.9998564016583753,0.9999952907196393,0.9999982913623915,0.9999876501491578,0.9854353206912688,0.986453453414878,0.9869367735563213,0.9852254499801605,0.9868052519114803,0.9618369138555225,0.9798448711762203,0.9477620476236234,0.9535107578244959,0.9594611240732703,0.9941600000000004,0.9935900000000004,0.9938000000000003,0.9944466666666668,0.9897833333333338,0.8688566666666667,0.8738833333333336,0.8831633333333335,0.8750666666666668,0.8737433333333334
85001200,Lake or Pond,602452.2384,4880556.528,Winona,Y,1,3.680685714,4.3,147.7769,1860.367966740635,1906.6155378941585,1874.6077361324517,1882.0483403830617,1764.6209409356384,2365.265701244778,2467.6165188408186,2331.794663343247,2171.666612406832,2165.1434542399347,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.9699871522909052,0.9707191482809698,0.9734615207931187,0.9760158825943321,0.9738873392959144,0.9999902472323791,0.99969990819661,0.9999891075282193,0.9999966904634252,0.9999732491103906,0.9852720830842426,0.9879347781590753,0.9887222223694828,0.9894417378462587,0.9885281774500317,0.9937569193283656,0.9969210748153139,0.9928298747401381,0.9929591847136527,0.9945076822500354,0.9863866666666676,0.9903300000000008,0.9891166666666672,0.9883000000000004,0.9890600000000006,0.9172066666666666,0.9958233333333336,0.92533,0.92085,0.9206866666666672
86001100,Lake or Pond,441248.7811,4999981.788,Wright,Y,1,5.300371429,9.14,27.5472,1829.5601611580632,1850.6194525741785,1825.4769153339985,1840.3540561491116,1721.7154374905133,2287.2294872577017,2408.199739871746,2285.956770994595,2114.4504259253586,2109.755479157112,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.745141254875355,0.7347621266515496,0.7344519158873203,0.7659630633248359,0.7560426685690508,0.9997406883501191,0.9946895647307311,0.9998382751720855,0.999948694560089,0.9995339726956135,0.826728752749828,0.8291512014180358,0.8213469339757388,0.8400382388842846,0.8384944918289324,0.9659620716730954,0.981435824378743,0.962350560181938,0.964581872362746,0.9726634397803147,0.7886785714285717,0.7825206493506506,0.7344566666666664,0.7730733333333335,0.7318371428571432,0.8608066666666664,0.9074739826839834,0.8417200000000005,0.8630566666666666,0.8657571428571434
86002300,Lake or Pond,441556.4028,5002603.75,Wright,Y,1,1.688359355,7.62,35.6012,1966.4410270230785,1995.470928801407,1965.6772650565767,1977.744069952432,1860.0580428194985,2424.057371229709,2552.658332116528,2425.9505168568703,2250.6208014383315,2249.7960004566817,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.8519117602607161,0.854642478430148,0.8676289256693341,0.8625206111372266,0.8781718388874448,0.9999018252362148,0.9981343863276612,0.9999515554903502,0.9999801895733249,0.9998598206038195,0.9041036984637928,0.9083375495475103,0.9120254438641062,0.9111533842444338,0.9166349069131914,0.8040758192360075,0.8874455114581855,0.7430749938353427,0.7902916052437496,0.8036992477926139,0.9928433333333336,0.9891100000000004,0.981863333333334,0.989883333333334,0.9914766666666672,0.8575233333333335,0.8438800000000005,0.8596400000000007,0.8503166666666669,0.8465433333333342
86003100,Lake or Pond,440234.716,5008725.695,Wright,Y,1,1.283333333,7,17.3691,1979.6130783185083,2010.1281064238751,1976.2907257757784,1990.746553810975,1871.4672708075316,2436.792778012773,2563.258457733441,2439.833526639183,2262.975779734089,2262.1834094676683,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog,0.7920630276954119,0.7991464580660518,0.8114048967819817,0.8108900908836015,0.8269235493684404,0.9998524477544174,0.9972523544427685,0.9999311142820464,0.9999694326977497,0.9997944841194122,0.8225869846473811,0.8295381261023456,0.8360085986864765,0.8364015350480101,0.8432585177039169,0.6372166490821575,0.7714633491240835,0.5506002272365904,0.6206750342280362,0.6347900851128011,0.947416666666668,0.953316666666668,0.9422400000000004,0.9474466666666675,0.9405633333333344,0.7930400000000007,0.792823333333333,0.8115066666666668,0.8030966666666661,0.8038900000000005
86005100,Lake or Pond,432228.4967,5007507.297,Wright,Y,1,2.091133333,5.3,40.236,1982.3193143921,2005.6868070737685,1980.63591818385,1993.8541836706231,1872.301801610445,2443.393597017056,2570.551111672394,2441.445970676613,2266.540424873533,2263.4954992439375,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog,0.9114943298156292,0.9129417645123054,0.9210769029257412,0.9119523348920492,0.9254528368537046,0.9999489258202601,0.9989666786857817,0.9999734594667209,0.9999895040056431,0.9999216253321652,0.9423980475973559,0.9447087179729055,0.9471626396070821,0.945879515400931,0.9492305155580683,0.8560154690925565,0.9197952702881492,0.8060333580545791,0.8489044588162981,0.8564982635884938,0.9173833333333344,0.9158666666666668,0.902366666666668,0.9085266666666676,0.9102933333333336,0.8258000000000002,0.8178500000000003,0.8209000000000004,0.8243099999999991,0.8198733333333337
86005300,Lake or Pond,432955.3935,5005440.432,Wright,Y,1,2.3876,3.9624,93.3329,1909.904409211107,1938.53657263349,1911.8464917080569,1926.71321815432,1798.20451328264,2373.870431666396,2493.7996838445474,2371.907082799998,2194.3151370819332,2196.853487168086,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.9217513812159086,0.9242343520229241,0.9256619324677587,0.923699592953714,0.9226932032596749,0.9999532578770057,0.9989387858081266,0.999972157192499,0.9999885664114989,0.9999205217821855,0.9658044928428638,0.9695407637909412,0.9683171945429078,0.9667955082170653,0.9668992130924464,0.9651555773883145,0.9820461328501129,0.9538179697313799,0.9605019882537065,0.9664976132196218,0.9936866666666668,0.9955266666666668,0.993236666666667,0.9942933333333333,0.9936566666666669,0.8866033333333335,0.9956033333333332,0.898446666666667,0.8928333333333333,0.8910033333333337
86006600,Lake or Pond,430799.4828,5016175.784,Wright,Y,1,4.279303623,7.62,22.2808,1888.5814704438667,1914.2322937812285,1885.90007081781,1902.426151494835,1782.0151108975151,2351.5896611255216,2477.4169574134708,2350.943071174343,2177.0192315936765,2172.693983167377,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.8255086857457573,0.8275329399234507,0.8287763964806141,0.8471068259615508,0.8475106357195402,0.9998764458621594,0.9974759597944218,0.9999303344808719,0.9999769452183892,0.9997957672644795,0.9192772107501082,0.9277594209211222,0.9238195791495943,0.9290395437832822,0.9318718676635925,0.9445648786389826,0.9717336527890048,0.9334593231020386,0.9437494213940857,0.9524711561273712,0.9471400000000004,0.929736666666668,0.9316533333333344,0.9389900000000008,0.931776666666668,0.8786066666666671,0.9168400000000014,0.877570000000001,0.8855000000000002,0.8836833333333343
86008800,Lake or Pond,430124.7782,4999761.331,Wright,Y,1,1.2192,1.2192,55.4047,1934.0829731423464,1959.8087429183363,1932.3644696952815,1943.5899151728868,1824.8627180763333,2393.580288213391,2519.953123946743,2393.58006453805,2219.2358555428423,2216.428170810772,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.7958171451650526,0.7926618713168838,0.8061970858779293,0.7944261166319347,0.8122676414293698,0.9998539084917564,0.9971338239508065,0.9999213869887144,0.9999680236406523,0.9997632630689888,0.8597517668875396,0.863249368232629,0.8669876477513451,0.8576501020998678,0.870707636296154,0.8027861205635509,0.8875125924769085,0.7491101647845119,0.777658876594955,0.8066616841587712,0.9748166666666672,0.9764900000000004,0.97393,0.976916666666667,0.97768,0.8278200000000002,0.912433333333334,0.8268000000000002,0.8324200000000003,0.8239066666666669
86009000,Lake or Pond,429774.1546,5001449.496,Wright,Y,1,1.005963889,4.3,90.8301,2029.0136220833551,2053.3524459702217,2026.39480514105,2041.401021495685,1921.4238879174384,2488.8443935645782,2622.940673725356,2490.051009105813,2312.798943614558,2313.4262217678506,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog,0.9683011870939151,0.9689257036694059,0.9716393815021563,0.9644466731820981,0.9741480361018381,0.9999828950851406,0.9996557129085597,0.9999916678294352,0.9999963956825463,0.9999753286129187,0.9445222703432833,0.9437718080539954,0.9474548418125224,0.9421725067514417,0.947634101533265,0.8120576989985187,0.8863292876708211,0.7272878750284724,0.7796850061506696,0.7855911986766863,0.9874899999999998,0.9865833333333334,0.9873366666666666,0.987296666666667,0.9893633333333334,0.8630466666666669,0.8690766666666668,0.8776266666666668,0.8698299999999999,0.8709100000000002
86010600,Lake or Pond,421553.9449,4991319.828,Wright,Y,1,1.033155963,3.1,38.4901,2007.0803723571116,2032.4067830732683,1993.5732904030351,2001.906494635135,1880.60629477153,2457.609198925437,2586.085789632403,2463.323371571079,2275.5872047782186,2289.649627397035,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog,0.8845676239798029,0.8595070593501205,0.8802465198858188,0.8832200087587748,0.8759624065178886,0.9999196925517226,0.9982713704413287,0.9999644099026693,0.9999830826229972,0.999900536598771,0.8542420768300549,0.8489135630347431,0.8596698392202787,0.8578557047436969,0.8587625095015495,0.6416237679296523,0.7768151539060317,0.5407372174426762,0.6143200790564185,0.6173632623025047,0.9716300000000004,0.9769733333333334,0.9777000000000006,0.9766233333333336,0.9770133333333336,0.8809933333333336,0.8759200000000003,0.8851866666666667,0.8806100000000004,0.8809000000000003
86010700,Lake or Pond,428253.6801,4999328.292,Wright,Y,1,1.678093333,4.27,31.6255,1882.150941011075,1910.532663043635,1877.829272377465,1889.2281782824284,1766.7456859035217,2338.83636499934,2458.821335002493,2337.3165917093306,2166.307423439568,2162.394283664607,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.60182208457297,0.5902695227692165,0.6018544163505878,0.6246248137185301,0.5988718808162897,0.999564424655449,0.9917121444597741,0.9997485693537459,0.9999014030584051,0.9992758813969412,0.74764472614627,0.7443728174886758,0.7464724516647435,0.7659016942723795,0.7445556851004228,0.8387968862027267,0.9110747463416689,0.8094581632979171,0.8259355430044738,0.8564375707950627,0.9475366666666674,0.9453233333333344,0.9403766666666684,0.9514633333333348,0.9639900000000008,0.842703333333334,0.910373333333334,0.851883333333334,0.8370066666666668,0.8332733333333338
86010800,Lake or Pond,427727.9962,4999017.584,Wright,Y,1,0.9906,1.524,31.6255,1882.150941011075,1910.532663043635,1877.829272377465,1889.2281782824284,1766.7456859035217,2338.83636499934,2458.821335002493,2337.3165917093306,2166.307423439568,2162.394283664607,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.49563041776357836,0.4866106660575638,0.4965340053679575,0.5121176926701497,0.4890595093636601,0.9993302026909994,0.9874572675182149,0.999614671850416,0.9998437077854554,0.9988710021040756,0.5695598752275435,0.5645129675068629,0.5689497044545155,0.5824040548700278,0.5612491049489462,0.6991532865041433,0.8201708094972562,0.655696465115603,0.6691688967941228,0.7236143205117271,0.9113800000000004,0.9134700000000008,0.9108500000000002,0.906830000000001,0.9239900000000014,0.8634566666666674,0.9455233333333326,0.8808366666666673,0.8609133333333333,0.8668500000000002
