DOWLKNUM,UTMX,UTMY,LON,LAT,mean.gdd_wtr_10c,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
69074200,525535.0028,5321038.101,-92.65740795,48.04211663,1405.481251,1458.290065,1457.64511,1465.86595,1457.472704,1358.080773
69081000,518967.3812,5337829.601,-92.74477467,48.19341724,1370.686158,1439.727777,1433.56851,1447.239974,1439.236476,1334.235094
69084100,507013.0184,5323188.277,-92.90587332,48.06193421,1352.780169,1370.912849,1363.629399,1378.694016,1365.22306,1267.685635
69084800,507254.1685,5181978.873,-92.90495196,46.79131824,1567.541658,1588.10321,1606.225292,1612.849178,1607.085846,1503.117026
69092500,502128.6589,5275146.122,-92.97166614,47.62971333,1404.840413,1394.551909,1395.514382,1401.75021,1387.21452,1301.06191
70002200,469003.5153,4948892.56,-93.39119485,44.69273556,1939.811931,2025.353992,2050.827997,2010.964913,2024.760626,1900.534636
70002900,465648.1492,4941618.001,-93.43305276,44.62709558,2043.597933,2148.671078,2183.584817,2140.424555,2154.242176,2025.342046
70005000,467196.8223,4942383.644,-93.41357905,44.63406046,2017.408983,2093.490355,2125.63081,2092.975128,2107.670739,1972.986589
70005200,462264.6288,4942151.172,-93.47574454,44.6317256,2012.705068,2098.499196,2129.931657,2096.947345,2109.673824,1977.068017
70006900,463511.23,4944353.954,-93.46018539,44.65161987,1980.908414,2036.62975,2072.220203,2038.736408,2055.807631,1926.620084
70007200,464590.3616,4951202.657,-93.44705002,44.71332699,1898.063772,1953.931131,1982.30761,1943.079225,1961.631917,1837.068357
70007600,465950.0664,4955479.221,-93.4301694,44.75189093,2131.727981,2207.438334,2235.920624,2202.780711,2230.645781,2085.178298
70009100,458446.6306,4937560.236,-93.52350622,44.59018658,1947.624098,2004.917255,2033.190087,1990.569263,2010.865231,1883.67076
70009800,455285.7389,4939342.274,-93.56348159,44.60603925,2009.518334,2083.055628,2114.044457,2070.643155,2092.00561,1959.953161
71001600,454934.5412,5033813.618,-93.57637997,45.45639434,1934.933099,1991.821234,2029.747244,1991.716085,2015.249363,1889.265094
71005500,451028.3816,5037227.586,-93.6266767,45.48685924,1897.083137,1979.923113,2013.032353,1984.945514,1996.894887,1872.832392
71008100,440642.8916,5021749.972,-93.75770089,45.34674693,1742.886478,1800.035562,1822.978842,1798.162359,1808.895885,1693.997827
71008200,440918.5712,5020853.573,-93.75407499,45.33870209,1742.886478,1800.035562,1822.978842,1798.162359,1808.895885,1693.997827
71014500,427975.6715,5039498.233,-93.92197723,45.50529582,1848.827112,1998.051005,2028.065361,2002.522397,2015.177888,1899.4420930000001
71014700,427063.9777,5037878.424,-93.93340528,45.49062285,1783.900884,1897.530606,1926.530887,1896.551422,1905.876675,1787.352371
72004200,404121.4397,4935805.295,-94.20748146,44.56920407,1956.154152,1996.477676,2021.911707,1975.915423,2000.467422,1872.341355
73003700,397751.0421,5028102.949,-94.30642358,45.3989737,1816.720471,1856.353233,1879.51849,1853.018712,1865.542037,1737.868134
73005500,395420.6511,5032339.061,-94.33709021,45.43674928,1818.159469,1852.250269,1869.091074,1848.781298,1859.546394,1738.180052
73011800,384321.7904,5056749.218,-94.48472037,45.6546441,1633.270303,1713.038384,1723.866917,1708.457039,1714.162716,1601.248603
73015100,379861.9824,5021715.424,-94.53335975,45.33865555,1810.218783,1873.06476,1891.095251,1869.237062,1879.110784,1755.489201
73018300,374294.2786,5066770.606,-94.61596905,45.74306413,1720.552081,1817.207257,1841.162604,1823.506649,1830.159287,1714.424014
73019900,371265.9455,5051139.097,-94.65074174,45.60186853,1806.9296200000001,1934.480967,1950.382051,1935.780052,1941.761326,1813.806907
73020002,366081.3706,5021658.678,-94.70915611,45.33564878,1742.084769,1819.347248,1841.32226,1822.355284,1830.070182,1698.554798
73020800,365617.5324,5056363.265,-94.72457933,45.64780027,1804.78663,1968.18285,1975.201133,1963.033037,1975.107502,1843.786872
73023300,367371.0706,5060719.997,-94.70327436,45.68733475,1723.426994,1825.054555,1834.57727,1818.926283,1828.23997,1707.640968
