DOWLKNUM,UTMX,UTMY,LON,LAT,EWMSTATUS,EWMSTATUS_corrRelFrq,max_depth,size_acres,avg_ph,avg_secchi,avg_conductance,avg_phosphorus,avg_chlorophylla,a440.cdom,allstreams_density_mperha,roaddensity_density_mperha,mean.gdd_wtr_10c,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
10021800,452183.4779,4963730.543,-93.6048564,44.82537987,1,1,5.4864,20.18245251,8.3603125,0.952101064,554.338,0.138151515,54.65286486,3.766,16.1876,134.1676,2026.994016,2091.409988,2115.695389,2080.85323,2103.081711,1970.102684
11005300,429152.8494,5185736.08,-93.92879781,46.82140057,U,0,21.336,224.907113,7.499354839,2.843508772,227.8928571,0.022076923,4.688571429,5.84624685,4.0423,67.3282,1582.766385,1688.455772,1707.088023,1708.314277,1714.061559,1612.538358
11005900,424640.5596,5191221.724,-93.98885008,46.8702633,1,1,31.6992,1590.200343,7.510245902,3.907021424,152.5104603,0.013442623,4.580746269,2.601324716,1.5173,42.9057,1534.217384,1644.177186,1665.328917,1671.002413,1664.025116,1572.641536
11006200,425872.1458,5200393.152,-93.97418615,46.95292262,U,0,24.384,1346.878974,8.28,4.968007242,258.96,0.012074074,3.832068966,1.18305545,1.9396,42.584,1499.47139,1562.313213,1578.388517,1598.957196,1588.02609,1494.258259
11007300,429010.4092,5204897.821,-93.9336541,46.99379733,U,0,1,2030.035448,7.67,0.812307692,234.6666667,0.022333333,1.47,3.023242,5.4097,9.2622,1519.91908,1605.710901,1618.265627,1621.537323,1616.588613,1521.499053
11010400,422938.2594,5203867.377,-94.01332739,46.9838471,U,0,1.486765259,1255.473516,8.044,1.079230769,146.5,0.0205,5.09,4.8480802,3.6571,18.4184,1493.561427,1534.410349,1546.184737,1549.803395,1542.973693,1452.226036
11014700,409709.2635,5254913.136,-94.19754193,47.44140779,0,0,21.336,56471.62721,8.314090909,3.323991379,285.15,0.022453571,6.811818182,1.4508052,1.3534,15.8709,1487.390055,1580.35342,1595.906444,1600.102926,1593.112216,1492.606072
11016700,409424.6313,5199545.538,-94.19012645,46.9432538,U,0,21.336,1451.676578,7.818630137,3.191018981,264.1041667,0.019454545,7.912,1.40800175,3.3022,43.1139,1519.016604,1569.495738,1586.331404,1595.286699,1592.264164,1486.414831
11017400,406494.4613,5204100.535,-94.22955757,46.98382732,1,1,25.2984,428.1789173,8.117391304,4.401081928,244.676087,0.015307692,4,0.7793561,1.2519,58.7442,1528.819924,1581.506664,1596.608763,1603.989091,1598.431021,1497.036144
11019000,408541.7348,5213440.252,-94.2045319,47.06814016,1,1,2.689966612,697.6716765,8.738333333,2.322061538,80.66666667,0.015333333,2.99,1.4659792,1.3617,16.4794,1422.483238,1470.891001,1478.914045,1486.343953,1476.553224,1386.112983
